+,!,*,&,ASTSize,ASTDepth,SUM_LIB,SUM_NODE,AVE_LIB,lev,power,area,delay
11,2928,2911,14,8801,30,90680,5864,15.5008547008547,9,87.52,98.21,95.95
4,1575,1933,5,5460,26,56805,3517,16.174544419134396,11,64.33,89.58,156.04
11,406,412,12,1277,25,13004,841,15.68636911942099,6,54.7,58.32,52.09
1,15944,12676,7,41313,45,422394,28628,14.758184549806087,12,93.48,90.98,122.82
2,632,502,10,1661,21,16784,1146,14.774647887323944,8,75.33,78.15,66.89
6,357,358,7,1100,18,11245,728,15.596393897364772,7,41.1,49.22,68.15
3,7294,8243,17,23821,32,247070,15557,15.898970398970398,12,290.8,261.27,223.31
0,22849,20914,14,64706,37,665749,43777,15.212599684665127,16,305.88,333.59,231.64
4,106,106,13,353,16,3390,229,15.694444444444445,4,68.08,41.52,46.77
0,3379,3001,4,9390,49,96433,6384,15.114890282131661,10,107.09,103.11,88.08
2,7486,6120,1,19733,32,202066,13609,14.849059376837154,11,79.9,110.34,110.04
6,342,316,5,997,23,10186,669,15.340361445783133,9,88.79,96.11,80.59
1,1418,1150,0,3721,30,38088,2569,14.82600233553912,10,70.64,90.28,111.02
0,50,60,1,173,21,1770,111,16.09090909090909,4,17.83,10.26,35.3
5,87,87,6,284,15,2827,185,15.793296089385475,5,48.21,38.02,51.14
2,5950,4732,1,15421,37,157706,10685,14.760950954698615,10,103.89,123.17,113.96
9,104,121,11,387,16,3832,245,16.376068376068375,6,74.37,64.39,60.9
0,44,49,1,145,24,1474,94,15.849462365591398,4,10.35,10.73,24.88
3,514,408,4,1345,22,13680,929,14.78918918918919,6,46.67,53.19,46.97
3,4837,4437,9,13736,31,141225,9286,15.223132478171824,8,73.67,79.55,105.37
2,4128,3422,1,10979,32,112488,7553,14.895127118644067,12,90.72,110.81,130.38
2,262,239,2,749,20,7668,505,15.244532803180915,7,50.53,48.76,53.28
11,207,183,18,632,25,6175,419,15.399002493765586,5,84.26,72.55,53.61
12,10712,10640,20,32057,39,330800,21384,15.483991761842352,9,67.03,74.88,123.69
1,59734,69870,0,199477,40,2074772,129605,16.008425600864165,10,62.93,38.72,80.25
12,2096,1792,15,5735,27,58600,3915,15.025641025641026,9,98.24,144.17,132.54
5,175,219,11,646,19,6523,410,16.348370927318296,5,45.34,53.65,46.89
2,329,343,14,1048,21,10559,688,15.666172106824925,6,152.75,101.94,66.88
13,152,125,22,473,27,4456,312,15.36551724137931,3,65.3,78.85,32.55
5,121,113,8,374,15,3705,247,15.502092050209205,4,50.86,42.69,42.81
3,13441,11956,14,37388,39,384079,25414,15.121220472440944,13,170.38,209.49,144.56
3,12730,12138,2,37017,42,381684,24873,15.346548188653452,13,138.76,171.46,179.67
2,2194,2095,4,6397,25,65888,4295,15.354928920997436,8,34.86,43.39,71.65
7,233,242,14,760,21,7603,496,15.773858921161827,7,65.67,85.85,74.44
3,845,1116,7,3098,23,32235,1971,16.412932790224033,8,70.03,92.15,105.52
7,21,15,17,100,19,701,60,16.302325581395348,2,30.56,30.09,17.24
1,31106,30833,6,92787,44,958306,61946,15.471520826606394,13,101.82,135.07,140.14
4,1004,1081,5,3185,24,32922,2094,15.759693633317378,7,35.89,39.66,67.2
7,77,68,16,260,20,2371,168,15.598684210526315,3,44.92,33.36,31.83
3,9846,10962,15,31807,37,329856,20826,15.850079284993512,12,207.48,236.78,171.15
1,211,225,0,664,19,6875,437,15.732265446224256,9,65.69,59.72,74.26
16,985,879,28,2832,31,28619,1908,15.222872340425532,8,108.6,111.74,92.3
6,119,125,7,396,16,3977,257,15.908,5,68.96,46.89,43.78
5,764,819,8,2429,24,25024,1596,15.758186397984886,7,69.98,67.88,84.26
8,4215,4102,18,12472,40,128387,8343,15.421861861861862,9,109.33,141.13,136.99
1,569,641,2,1858,24,19249,1213,15.895127993393888,8,62.23,68.35,68.19
8,45,42,7,160,12,1537,102,16.178947368421053,5,47.51,33.36,28.45
2,190,184,1,565,17,5810,377,15.452127659574469,4,22.9,13.76,22.97
2,56,66,1,195,21,2008,125,16.193548387096776,5,34.39,13.76,36.62
13,307,289,22,956,28,9459,631,15.532019704433498,5,84.42,93.08,72.87
6,1784,1685,14,5195,24,53282,3489,15.33294964028777,11,98.49,95.41,134.96
6,130,116,7,389,16,3878,259,15.38888888888889,7,58.86,55.52,58.29
3,13795,13178,11,40180,33,414149,26987,15.352498517200475,13,126.22,160.5,146.74
2,5913,5887,3,17698,30,182783,11805,15.487459752584307,10,58.38,47.36,95.11
5,1775,1595,7,4990,24,51195,3382,15.168888888888889,8,93.5,100.78,98.33
7,273,336,7,974,19,10031,623,16.28409090909091,7,78.64,84.68,60.93
10,871,839,20,2610,31,26557,1740,15.440116279069768,6,80.63,92.15,69.28
1,563,662,12,1914,24,19657,1238,16.033442088091356,9,180.11,142.77,111.61
4,4356,3748,3,11867,28,121764,8111,15.017760236803158,7,54.94,43.62,80.51
11,57,35,18,186,20,1569,121,15.233009708737864,5,46.02,43.62,51.02
1,45794,41886,0,129569,43,1333664,87681,15.21041046520911,15,129.55,151.4,214.93
5,2163,2051,6,6288,21,64719,4225,15.339890969424035,9,67.87,80.25,116.69
1,1743,1559,4,4872,45,50011,3307,15.141083863154709,9,106.0,115.94,96.08
7,434,345,9,1157,23,11678,795,14.857506361323155,9,71.63,67.42,92.92
9,59,47,16,204,19,1799,131,15.643478260869566,4,41.02,36.39,37.96
4,15,14,3,58,9,547,36,16.575757575757574,4,25.89,17.73,24.95
15,949,834,19,2686,30,27279,1817,15.171857619577308,7,111.38,142.3,91.17
11,15,7,18,88,20,575,51,17.424242424242426,1,25.42,27.99,20.25
7,3503,3123,8,9780,26,100415,6641,15.1387004372079,9,97.18,116.17,101.2
7,307,297,9,934,21,9479,620,15.513911620294598,9,69.29,66.25,86.07
3,127,122,3,384,15,3905,255,15.496031746031745,5,61.69,50.39,44.93
3,817,784,5,2402,20,24679,1609,15.385910224438902,9,60.6,82.35,100.87
6,2913,2448,5,7832,28,80229,5372,14.948574622694242,11,104.75,139.03,148.11
10,1405,1350,12,4150,23,42605,2777,15.408679927667269,9,69.8,107.31,110.47
6,3533,3931,6,11420,29,118435,7476,15.85475234270415,9,69.4,76.28,84.36
0,5310,5021,8,15369,39,158252,10339,15.318168618720357,12,162.15,134.6,154.17
7,1613,1503,18,4670,28,47765,3141,15.294588536663465,9,120.37,160.5,109.17
1,1922,2159,10,6263,37,64822,4092,15.879960803527682,10,354.74,285.53,171.12
0,326,404,1,1137,33,11822,731,16.194520547945206,8,68.08,62.05,61.99
3,2511,2432,12,7406,45,76181,4958,15.402547513141933,10,221.0,192.46,199.06
2,105,112,2,338,17,3461,221,15.80365296803653,6,24.32,26.83,41.0
5,2842,2833,4,8527,32,88034,5684,15.49894366197183,11,111.44,136.47,135.08
11,2916,2824,16,8619,29,88658,5767,15.416101547556947,10,118.81,154.66,125.73
4,4018,3674,5,11385,33,117094,7701,15.21491683991684,12,121.55,152.57,173.2
0,41930,53982,4,149903,48,1564974,95916,16.31676953874385,15,148.41,151.63,192.58
1,4550,4102,0,12757,38,131220,8653,15.164682768981857,11,117.26,157.0,114.98
8,160,172,22,565,28,5432,362,15.976470588235294,4,69.53,79.08,52.71
5,67,69,11,238,17,2251,152,15.964539007092199,4,48.14,42.92,32.27
1,171,169,7,526,15,5283,348,15.49266862170088,6,69.05,59.02,48.88
4,77,57,6,212,12,2051,144,14.86231884057971,4,37.52,23.33,36.74
0,9045,11269,8,31600,32,329323,20322,16.211627449049917,13,141.71,117.57,177.85
9,2988,3807,11,10643,27,110880,6815,16.296296296296298,10,79.92,129.7,111.52
7,506,460,14,1469,25,14856,987,15.268242548818089,7,69.91,73.02,73.36
5,496,486,4,1487,25,15286,991,15.487335359675786,8,63.64,73.95,76.83
