iter	Passed	Remaining
0	5	1139
1	10	1071
2	15	1047
3	20	1016
4	25	1000
5	30	973
6	34	952
7	38	935
8	43	922
9	48	919
10	53	920
11	58	915
12	62	906
13	67	896
14	72	893
15	77	886
16	82	885
17	86	877
18	91	871
19	95	862
20	100	854
21	104	848
22	109	841
23	113	833
24	118	828
25	122	822
26	127	817
27	132	811
28	136	805
29	141	799
30	145	793
31	149	787
32	154	780
33	158	774
34	162	767
35	167	761
36	171	755
37	176	750
38	181	749
39	186	744
40	190	738
41	194	732
42	199	728
43	204	724
44	209	720
45	213	714
46	218	709
47	222	704
48	226	698
49	231	693
50	235	688
51	240	685
52	245	681
53	250	676
54	254	671
55	259	667
56	262	658
57	266	653
58	271	647
59	275	642
60	279	637
61	284	632
62	288	628
63	293	623
64	297	618
65	302	613
66	306	608
67	310	603
68	315	598
69	319	593
70	324	588
71	328	584
72	333	579
73	337	575
74	342	570
75	346	565
76	351	560
77	355	556
78	359	551
79	364	546
80	368	541
81	373	537
82	378	533
83	382	528
84	387	524
85	392	519
86	396	515
87	401	511
88	406	506
89	410	501
90	412	493
91	416	489
92	421	484
93	425	480
94	430	475
95	434	470
96	439	466
97	444	462
98	449	458
99	453	453
100	458	449
101	462	444
102	467	439
103	471	435
104	476	430
105	480	426
106	484	421
107	489	416
108	493	412
109	498	408
110	503	403
111	507	399
112	512	394
113	516	389
114	521	385
115	526	381
116	530	376
117	535	371
118	540	367
119	544	363
120	549	358
121	554	354
122	558	349
123	563	345
124	568	340
125	572	336
126	577	332
127	582	327
128	587	323
129	592	318
130	597	314
131	602	310
132	607	305
133	611	301
134	616	296
135	621	292
136	625	287
137	630	283
138	635	278
139	640	274
140	645	269
141	649	265
142	654	260
143	659	256
144	663	251
145	667	247
146	672	242
147	676	237
148	681	233
149	685	228
150	690	223
151	695	219
152	699	215
153	704	210
154	709	205
155	714	201
156	719	197
157	724	192
158	729	188
159	734	183
160	738	178
161	743	174
162	747	169
163	752	165
164	757	160
165	762	156
166	767	151
167	772	147
168	776	142
169	780	137
170	785	133
171	789	128
172	794	123
173	798	119
174	803	114
175	808	110
176	813	105
177	818	101
178	822	96
179	827	91
180	831	87
181	836	82
182	841	78
183	846	73
184	850	68
185	854	64
186	859	59
187	864	55
188	868	50
189	873	45
190	877	41
191	881	36
192	886	32
193	890	27
194	895	22
195	899	18
196	903	13
197	908	9
198	912	4
199	917	0
